s dummy RR0 RR2 RR4 RR6 RR8
0.100115 0 0 0 0 0 0
0.100346 0 0 0 0 0 0
0.100577 0 0 0 0 0 0
0.100809 0 0 0 0 0 0
0.101042 0 0 0 0 0 0
0.101275 0 0 0 0 0 0
0.101508 0 0 0 0 0 0
0.101742 0 0 0 0 0 0
0.101977 0 0 0 0 0 0
0.102212 0 0 0 0 0 0
0.102447 0 0.785737 -0.895733 -1.13955 -2.32891 -2.15249
0.102683 0 0 0 0 0 0
0.10292 0 0 0 0 0 0
0.103157 0 0 0 0 0 0
0.103395 0 0 0 0 0 0
0.103634 0 0 0 0 0 0
0.103872 0 0 0 0 0 0
0.104112 0 0 0 0 0 0
0.104352 0 0 0 0 0 0
0.104592 0 0 0 0 0 0
0.104834 0 0 0 0 0 0
0.105075 0 0 0 0 0 0
0.105317 0 0 0 0 0 0
0.10556 0 0 0 0 0 0
0.105804 0 0 0 0 0 0
0.106047 0 0 0 0 0 0
0.106292 0 0 0 0 0 0
0.106537 0 0 0 0 0 0
0.106783 0 0 0 0 0 0
0.107029 0 0 0 0 0 0
0.107275 0 0 0 0 0 0
0.107523 0 0 0 0 0 0
0.107771 0 0 0 0 0 0
0.108019 0 0 0 0 0 0
0.108268 0 0 0 0 0 0
0.108518 0 0 0 0 0 0
0.108768 0 0 0 0 0 0
0.109019 0 0 0 0 0 0
0.10927 0 0 0 0 0 0
0.109522 0 0 0 0 0 0
0.109774 0 0 0 0 0 0
0.110027 0 0 0 0 0 0
0.110281 0 0 0 0 0 0
0.110535 0 0 0 0 0 0
0.11079 0 0 0 0 0 0
0.111045 0 0 0 0 0 0
0.111301 0 0 0 0 0 0
0.111558 0 0 0 0 0 0
0.111815 0 0.493497 -0.630774 -0.532098 -1.64001 -1.00507
0.112073 0 0 0 0 0 0
0.112331 0 0 0 0 0 0
0.11259 0 0 0 0 0 0
0.11285 0 0 0 0 0 0
0.11311 0 0 0 0 0 0
0.113371 0 0 0 0 0 0
0.113632 0 0 0 0 0 0
0.113894 0 0 0 0 0 0
0.114156 0 0 0 0 0 0
0.11442 0 0 0 0 0 0
0.114683 0 0.454104 1.01904 -1.00764 2.64952 -1.90332
0.114948 0 0 0 0 0 0
0.115213 0 0 0 0 0 0
0.115478 0 0 0 0 0 0
0.115744 0 0 0 0 0 0
0.116011 0 0 0 0 0 0
0.116279 0 0 0 0 0 0
0.116547 0 0 0 0 0 0
0.116815 0 0 0 0 0 0
0.117085 0 0 0 0 0 0
0.117355 0 0 0 0 0 0
0.117625 0 0 0 0 0 0
0.117896 0 0 0 0 0 0
0.118168 0 0 0 0 0 0
0.118441 0 0 0 0 0 0
0.118714 0 0 0 0 0 0
0.118987 0 0 0 0 0 0
0.119262 0 0 0 0 0 0
0.119536 0 0 0 0 0 0
0.119812 0 0 0 0 0 0
0.120088 0 0 0 0 0 0
0.120365 0 0 0 0 0 0
0.120642 0 0 0 0 0 0
0.120921 0 0 0 0 0 0
0.121199 0 0.581425 -0.0173315 -2.01729 -0.045062 -3.81044
0.121479 0 0 0 0 0 0
0.121759 0 0 0 0 0 0
0.122039 0 0 0 0 0 0
0.122321 0 0 0 0 0 0
0.122603 0 0 0 0 0 0
0.122885 0 0 0 0 0 0
0.123169 0 0 0 0 0 0
0.123453 0 0 0 0 0 0
0.123737 0 0 0 0 0 0
0.124022 0 0 0 0 0 0
0.124308 0 0 0 0 0 0
0.124595 0 0 0 0 0 0
0.124882 0 0 0 0 0 0
0.12517 0 0 0 0 0 0
0.125459 0 0 0 0 0 0
0.125748 0 0 0 0 0 0
0.126038 0 0 0 0 0 0
0.126328 0 0 0 0 0 0
0.126619 0 0 0 0 0 0
0.126911 0 0 0 0 0 0
0.127204 0 0 0 0 0 0
0.127497 0 0 0 0 0 0
0.127791 0 0 0 0 0 0
0.128086 0 0 0 0 0 0
0.128381 0 0 0 0 0 0
0.128677 0 0 0 0 0 0
0.128973 0 0 0 0 0 0
0.129271 0 0 0 0 0 0
0.129569 0 0 0 0 0 0
0.129867 0 0 0 0 0 0
0.130167 0 0 0 0 0 0
0.130467 0 0 0 0 0 0
0.130768 0 0 0 0 0 0
0.131069 0 0 0 0 0 0
0.131371 0 0 0 0 0 0
0.131674 0 0 0 0 0 0
0.131978 0 0 0 0 0 0
0.132282 0 0 0 0 0 0
0.132587 0 0 0 0 0 0
0.132892 0 0 0 0 0 0
0.133199 0 0 0 0 0 0
0.133506 0 0 0 0 0 0
0.133814 0 0 0 0 0 0
0.134122 0 0 0 0 0 0
0.134431 0 0 0 0 0 0
0.134741 0 0 0 0 0 0
0.135052 0 0 0 0 0 0
0.135363 0 0 0 0 0 0
0.135675 0 0 0 0 0 0
0.135988 0 0 0 0 0 0
0.136301 0 0 0 0 0 0
0.136616 0 0 0 0 0 0
0.136931 0 0 0 0 0 0
0.137246 0 0 0 0 0 0
0.137563 0 0 0 0 0 0
0.13788 0 0 0 0 0 0
0.138198 0 0 0 0 0 0
0.138516 0 0 0 0 0 0
0.138835 0 0 0 0 0 0
0.139155 0 0 0 0 0 0
0.139476 0 0 0 0 0 0
0.139798 0 0 0 0 0 0
0.14012 0 0 0 0 0 0
0.140443 0 0 0 0 0 0
0.140767 0 0 0 0 0 0
0.141091 0 0 0 0 0 0
0.141417 0 0 0 0 0 0
0.141743 0 0 0 0 0 0
0.142069 0 0 0 0 0 0
0.142397 0 0 0 0 0 0
0.142725 0 0 0 0 0 0
0.143054 0 0 0 0 0 0
0.143384 0 0 0 0 0 0
0.143714 0 0 0 0 0 0
0.144046 0 0 0 0 0 0
0.144378 0 0 0 0 0 0
0.144711 0 0 0 0 0 0
0.145044 0 0 0 0 0 0
0.145379 0 0 0 0 0 0
0.145714 0 0 0 0 0 0
0.14605 0 0 0 0 0 0
0.146386 0 0 0 0 0 0
0.146724 0 0 0 0 0 0
0.147062 0 0 0 0 0 0
0.147401 0 0 0 0 0 0
0.147741 0 0 0 0 0 0
0.148081 0 0 0 0 0 0
0.148423 0 0.536941 -0.526605 -0.991159 -1.36917 -1.87219
0.148765 0 0 0 0 0 0
0.149108 0 0 0 0 0 0
0.149452 0 0 0 0 0 0
0.149796 0 0 0 0 0 0
0.150141 0 0 0 0 0 0
0.150487 0 0 0 0 0 0
0.150834 0 0 0 0 0 0
0.151182 0 0 0 0 0 0
0.151531 0 0 0 0 0 0
0.15188 0 0 0 0 0 0
0.15223 0 0 0 0 0 0
0.152581 0 0 0 0 0 0
0.152933 0 0 0 0 0 0
0.153285 0 0 0 0 0 0
0.153639 0 0 0 0 0 0
0.153993 0 0 0 0 0 0
0.154348 0 0 0 0 0 0
0.154704 0 0 0 0 0 0
0.15506 0 0 0 0 0 0
0.155418 0 0 0 0 0 0
0.155776 0 0 0 0 0 0
0.156135 0 0 0 0 0 0
0.156495 0 0 0 0 0 0
0.156856 0 0 0 0 0 0
0.157217 0 0 0 0 0 0
0.15758 0 0 0 0 0 0
0.157943 0 0 0 0 0 0
0.158307 0 0 0 0 0 0
0.158672 0 0 0 0 0 0
0.159038 0 0 0 0 0 0
0.159404 0 1.3239 3.54512 -1.53366 9.21731 -2.89691
0.159772 0 0 0 0 0 0
0.16014 0 0 0 0 0 0
0.160509 0 0 0 0 0 0
0.160879 0 0 0 0 0 0
0.16125 0 0 0 0 0 0
0.161622 0 0 0 0 0 0
0.161995 0 0 0 0 0 0
0.162368 0 0 0 0 0 0
0.162742 0 0 0 0 0 0
0.163117 0 0 0 0 0 0
0.163493 0 0 0 0 0 0
0.16387 0 0 0 0 0 0
0.164248 0 0 0 0 0 0
0.164627 0 0 0 0 0 0
0.165006 0 0 0 0 0 0
0.165387 0 0 0 0 0 0
0.165768 0 0 0 0 0 0
0.16615 0 0 0 0 0 0
0.166533 0 0 0 0 0 0
0.166917 0 0 0 0 0 0
0.167302 0 0 0 0 0 0
0.167687 0 0 0 0 0 0
0.168074 0 0 0 0 0 0
0.168461 0 0 0 0 0 0
0.16885 0 0 0 0 0 0
0.169239 0 1.47061 5.36158 3.17442 13.9401 5.99613
0.169629 0 0 0 0 0 0
0.17002 0 0 0 0 0 0
0.170412 0 0 0 0 0 0
0.170805 0 0 0 0 0 0
0.171199 0 0 0 0 0 0
0.171593 0 0 0 0 0 0
0.171989 0 0 0 0 0 0
0.172385 0 0 0 0 0 0
0.172783 0 0 0 0 0 0
0.173181 0 0 0 0 0 0
0.17358 0 0 0 0 0 0
0.17398 0 0 0 0 0 0
0.174381 0 0 0 0 0 0
0.174783 0 0 0 0 0 0
0.175186 0 0.76004 0.352831 -2.89831 0.91736 -5.47459
0.17559 0 0 0 0 0 0
0.175995 0 0 0 0 0 0
0.176401 0 0 0 0 0 0
0.176807 0 0 0 0 0 0
0.177215 0 0.542462 1.13835 -1.3648 2.95971 -2.57795
0.177623 0 0.756956 -1.80571 2.17161 -4.69484 4.10192
0.178033 0 0 0 0 0 0
0.178443 0 0 0 0 0 0
0.178855 0 0 0 0 0 0
0.179267 0 0.493825 -1.17665 1.41082 -3.0593 2.66489
0.17968 0 0 0 0 0 0
0.180094 0 0.485909 1.55211 0.217672 4.03548 0.411158
0.18051 0 0 0 0 0 0
0.180926 0 0 0 0 0 0
0.181343 0 0 0 0 0 0
0.181761 0 0 0 0 0 0
0.18218 0 0 0 0 0 0
0.1826 0 0 0 0 0 0
0.183021 0 0 0 0 0 0
0.183443 0 0 0 0 0 0
0.183866 0 0 0 0 0 0
0.184289 0 0 0 0 0 0
0.184714 0 0 0 0 0 0
0.18514 0 0 0 0 0 0
0.185567 0 0 0 0 0 0
0.185995 0 0 0 0 0 0
0.186423 0 0 0 0 0 0
0.186853 0 0.68685 -0.578985 -1.48335 -1.50536 -2.80188
0.187284 0 0 0 0 0 0
0.187716 0 0 0 0 0 0
0.188148 0 0 0 0 0 0
0.188582 0 0 0 0 0 0
0.189017 0 0 0 0 0 0
0.189452 0 0 0 0 0 0
0.189889 0 0.514542 -0.382659 -1.21903 -0.994915 -2.30261
0.190327 0 0 0 0 0 0
0.190766 0 0 0 0 0 0
0.191205 0 0 0 0 0 0
0.191646 0 0 0 0 0 0
0.192088 0 0 0 0 0 0
0.192531 0 0.643802 -1.6095 2.17283 -4.18471 4.10424
0.192975 0 0 0 0 0 0
0.19342 0 0 0 0 0 0
0.193865 0 0 0 0 0 0
0.194312 0 0 0 0 0 0
0.19476 0 0 0 0 0 0
0.195209 0 0 0 0 0 0
0.195659 0 0 0 0 0 0
0.19611 0 0 0 0 0 0
0.196562 0 0 0 0 0 0
0.197015 0 0 0 0 0 0
0.19747 0 0 0 0 0 0
0.197925 0 0 0 0 0 0
0.198381 0 0 0 0 0 0
0.198838 0 0 0 0 0 0
0.199297 0 0 0 0 0 0
0.199756 0 0 0 0 0 0
0.200217 0 0 0 0 0 0
0.200678 0 0.745974 -1.79776 2.21961 -4.67417 4.19259
0.201141 0 0 0 0 0 0
0.201605 0 0.471456 -0.774515 0.0150856 -2.01374 0.028495
0.202069 0 0 0 0 0 0
0.202535 0 0 0 0 0 0
0.203002 0 0.919394 -1.98198 1.75493 -5.15314 3.31488
0.20347 0 0 0 0 0 0
0.203939 0 0 0 0 0 0
0.204409 0 0 0 0 0 0
0.20488 0 0 0 0 0 0
0.205353 0 0 0 0 0 0
0.205826 0 0 0 0 0 0
0.206301 0 0 0 0 0 0
0.206776 0 0 0 0 0 0
