s dummy RR0 RR2 RR4 RR6 RR8
0.100115 0 0 0 0 0 0
0.100346 0 0 0 0 0 0
0.100577 0 0 0 0 0 0
0.100809 0 0 0 0 0 0
0.101042 0 0 0 0 0 0
0.101275 0 0 0 0 0 0
0.101508 0 0 0 0 0 0
0.101742 0 1.07276 0.753088 -4.13768 1.95803 -7.81562
0.101977 0 0 0 0 0 0
0.102212 0 0 0 0 0 0
0.102447 0 0 0 0 0 0
0.102683 0 0 0 0 0 0
0.10292 0 0 0 0 0 0
0.103157 0 0 0 0 0 0
0.103395 0 0 0 0 0 0
0.103634 0 0 0 0 0 0
0.103872 0 0 0 0 0 0
0.104112 0 0 0 0 0 0
0.104352 0 0 0 0 0 0
0.104592 0 0 0 0 0 0
0.104834 0 0 0 0 0 0
0.105075 0 0 0 0 0 0
0.105317 0 0 0 0 0 0
0.10556 0 0 0 0 0 0
0.105804 0 0 0 0 0 0
0.106047 0 0.873697 0.490511 -3.35568 1.27533 -6.33851
0.106292 0 0 0 0 0 0
0.106537 0 0 0 0 0 0
0.106783 0 0 0 0 0 0
0.107029 0 0 0 0 0 0
0.107275 0 0 0 0 0 0
0.107523 0 0 0 0 0 0
0.107771 0 0 0 0 0 0
0.108019 0 0 0 0 0 0
0.108268 0 0 0 0 0 0
0.108518 0 0 0 0 0 0
0.108768 0 0 0 0 0 0
0.109019 0 0 0 0 0 0
0.10927 0 0 0 0 0 0
0.109522 0 0 0 0 0 0
0.109774 0 0 0 0 0 0
0.110027 0 0 0 0 0 0
0.110281 0 0 0 0 0 0
0.110535 0 1.65555 -3.66585 3.55346 -9.5312 6.71208
0.11079 0 0 0 0 0 0
0.111045 0 0 0 0 0 0
0.111301 0 0 0 0 0 0
0.111558 0 0 0 0 0 0
0.111815 0 0 0 0 0 0
0.112073 0 0 0 0 0 0
0.112331 0 0 0 0 0 0
0.11259 0 0 0 0 0 0
0.11285 0 0 0 0 0 0
0.11311 0 0.861864 -1.89656 1.80143 -4.93104 3.4027
0.113371 0 0 0 0 0 0
0.113632 0 0 0 0 0 0
0.113894 0 0 0 0 0 0
0.114156 0 0 0 0 0 0
0.11442 0 0 0 0 0 0
0.114683 0 0 0 0 0 0
0.114948 0 0 0 0 0 0
0.115213 0 0 0 0 0 0
0.115478 0 0 0 0 0 0
0.115744 0 1.06629 -1.47989 -0.814356 -3.84772 -1.53823
0.116011 0 0 0 0 0 0
0.116279 0 1.22099 -0.158997 -4.09998 -0.413391 -7.74441
0.116547 0 0 0 0 0 0
0.116815 0 0 0 0 0 0
0.117085 0 1.04783 4.51585 5.44013 11.7412 10.2758
0.117355 0 0 0 0 0 0
0.117625 0 0 0 0 0 0
0.117896 0 0 0 0 0 0
0.118168 0 0 0 0 0 0
0.118441 0 0 0 0 0 0
0.118714 0 0 0 0 0 0
0.118987 0 0 0 0 0 0
0.119262 0 0 0 0 0 0
0.119536 0 0 0 0 0 0
0.119812 0 0 0 0 0 0
0.120088 0 0 0 0 0 0
0.120365 0 0 0 0 0 0
0.120642 0 0 0 0 0 0
0.120921 0 0 0 0 0 0
0.121199 0 0 0 0 0 0
0.121479 0 0 0 0 0 0
0.121759 0 2.25546 2.55528 -8.42294 6.64373 -15.91
0.122039 0 0 0 0 0 0
0.122321 0 0 0 0 0 0
0.122603 0 0 0 0 0 0
0.122885 0 0 0 0 0 0
0.123169 0 0.862669 3.25329 2.31552 8.45855 4.37375
0.123453 0 0.90248 1.31109 -3.13648 3.40884 -5.92446
0.123737 0 0 0 0 0 0
0.124022 0 0 0 0 0 0
0.124308 0 0 0 0 0 0
0.124595 0 0 0 0 0 0
0.124882 0 0 0 0 0 0
0.12517 0 0 0 0 0 0
0.125459 0 0 0 0 0 0
0.125748 0 0 0 0 0 0
0.126038 0 0 0 0 0 0
0.126328 0 0 0 0 0 0
0.126619 0 0 0 0 0 0
0.126911 0 0 0 0 0 0
0.127204 0 0 0 0 0 0
0.127497 0 1.08479 -2.46912 2.60636 -6.41971 4.92313
0.127791 0 0 0 0 0 0
0.128086 0 0 0 0 0 0
0.128381 0 0 0 0 0 0
0.128677 0 0 0 0 0 0
0.128973 0 0 0 0 0 0
0.129271 0 0 0 0 0 0
0.129569 0 0 0 0 0 0
0.129867 0 0.830236 2.57765 0.118546 6.70189 0.223921
0.130167 0 0 0 0 0 0
0.130467 0 0 0 0 0 0
0.130768 0 0 0 0 0 0
0.131069 0 0 0 0 0 0
0.131371 0 0 0 0 0 0
0.131674 0 0 0 0 0 0
0.131978 0 0 0 0 0 0
0.132282 0 1.03405 -1.7187 0.0992018 -4.46863 0.187381
0.132587 0 0 0 0 0 0
0.132892 0 0 0 0 0 0
0.133199 0 0 0 0 0 0
0.133506 0 0 0 0 0 0
0.133814 0 0 0 0 0 0
0.134122 0 0 0 0 0 0
0.134431 0 0 0 0 0 0
0.134741 0 2.97812 -6.18729 4.93996 -16.087 9.33103
0.135052 0 0 0 0 0 0
0.135363 0 0 0 0 0 0
0.135675 0 1.07276 -0.750022 -2.63758 -1.95006 -4.9821
0.135988 0 1.65683 -1.09118 -4.20468 -2.83707 -7.94217
0.136301 0 0 0 0 0 0
0.136616 0 0 0 0 0 0
0.136931 0 0 0 0 0 0
0.137246 0 0 0 0 0 0
0.137563 0 0 0 0 0 0
0.13788 0 1.08995 0.614315 -4.18678 1.59722 -7.90837
0.138198 0 0 0 0 0 0
0.138516 0 0 0 0 0 0
0.138835 0 0 0 0 0 0
0.139155 0 0 0 0 0 0
0.139476 0 0 0 0 0 0
0.139798 0 0 0 0 0 0
0.14012 0 0 0 0 0 0
0.140443 0 0 0 0 0 0
0.140767 0 0 0 0 0 0
0.141091 0 0 0 0 0 0
0.141417 0 0 0 0 0 0
0.141743 0 0 0 0 0 0
0.142069 0 0 0 0 0 0
0.142397 0 0 0 0 0 0
0.142725 0 0 0 0 0 0
0.143054 0 0 0 0 0 0
0.143384 0 0 0 0 0 0
0.143714 0 0 0 0 0 0
0.144046 0 0 0 0 0 0
0.144378 0 0 0 0 0 0
0.144711 0 0 0 0 0 0
0.145044 0 0 0 0 0 0
0.145379 0 0 0 0 0 0
0.145714 0 0 0 0 0 0
0.14605 0 0 0 0 0 0
0.146386 0 0.9099 -0.822343 -1.84206 -2.13809 -3.47944
0.146724 0 0 0 0 0 0
0.147062 0 1.6936 -3.95827 4.50657 -10.2915 8.51242
0.147401 0 2.47302 -1.87507 -3.32974 -4.87519 -6.28951
0.147741 0 0.924774 -2.14982 2.41148 -5.58953 4.55503
0.148081 0 0 0 0 0 0
0.148423 0 1.23852 4.2003 1.43631 10.9208 2.71303
0.148765 0 0 0 0 0 0
0.149108 0 2.09615 -4.8969 5.56828 -12.7319 10.5179
0.149452 0 0 0 0 0 0
0.149796 0 0 0 0 0 0
0.150141 0 0 0 0 0 0
0.150487 0 0 0 0 0 0
0.150834 0 0 0 0 0 0
0.151182 0 0 0 0 0 0
0.151531 0 0 0 0 0 0
0.15188 0 0 0 0 0 0
0.15223 0 0.951039 -2.22315 2.5323 -5.78019 4.78323
0.152581 0 0.807164 1.33286 -2.61728 3.46544 -4.94375
0.152933 0 0 0 0 0 0
0.153285 0 1.19677 0.0246011 -4.21294 0.0639628 -7.95777
0.153639 0 0 0 0 0 0
0.153993 0 0 0 0 0 0
0.154348 0 0 0 0 0 0
0.154704 0 0.871217 1.31157 -2.97869 3.41007 -5.62641
0.15506 0 0 0 0 0 0
0.155418 0 0 0 0 0 0
0.155776 0 0 0 0 0 0
0.156135 0 1.97789 -2.24636 -2.88932 -5.84055 -5.45761
0.156495 0 0 0 0 0 0
0.156856 0 0 0 0 0 0
0.157217 0 0 0 0 0 0
0.15758 0 0 0 0 0 0
0.157943 0 0 0 0 0 0
0.158307 0 1.8507 -0.576202 -5.77567 -1.49813 -10.9096
0.158672 0 0 0 0 0 0
0.159038 0 0 0 0 0 0
0.159404 0 0.824406 -2.06101 2.78237 -5.35864 5.25558
0.159772 0 0 0 0 0 0
0.16014 0 0 0 0 0 0
0.160509 0 0 0 0 0 0
0.160879 0 0.797303 -1.99326 2.6909 -5.18247 5.08281
0.16125 0 0.838018 -1.59883 0.801014 -4.15696 1.51303
0.161622 0 1.07849 -0.271367 -3.45556 -0.705554 -6.52718
0.161995 0 1.20063 -2.83623 3.32401 -7.37419 6.27868
0.162368 0 1.08758 -0.297048 -3.45268 -0.772325 -6.52174
0.162742 0 0 0 0 0 0
0.163117 0 1.12038 2.81079 -1.79592 7.30805 -3.39229
0.163493 0 0 0 0 0 0
0.16387 0 0 0 0 0 0
0.164248 0 2.05398 -0.647367 -6.39874 -1.68315 -12.0865
0.164627 0 0 0 0 0 0
0.165006 0 0 0 0 0 0
0.165387 0 0 0 0 0 0
0.165768 0 0 0 0 0 0
0.16615 0 0.853027 -2.13257 2.87896 -5.54467 5.43804
0.166533 0 0 0 0 0 0
0.166917 0 0 0 0 0 0
0.167302 0 0 0 0 0 0
0.167687 0 0 0 0 0 0
0.168074 0 1.17273 0.806435 -4.52282 2.09673 -8.5431
0.168461 0 0.836128 0.7554 -3.20412 1.96404 -6.05223
0.16885 0 0 0 0 0 0
0.169239 0 0 0 0 0 0
0.169629 0 0 0 0 0 0
0.17002 0 1.2005 4.26846 2.1536 11.098 4.0679
0.170412 0 0 0 0 0 0
0.170805 0 2.59859 0.92873 -9.79146 2.4147 -18.495
0.171199 0 0 0 0 0 0
0.171593 0 0 0 0 0 0
0.171989 0 0 0 0 0 0
0.172385 0 0 0 0 0 0
0.172783 0 1.10563 -2.6263 3.12353 -6.82839 5.9
0.173181 0 0 0 0 0 0
0.17358 0 0 0 0 0 0
0.17398 0 2.30411 2.55298 0.36998 6.63774 0.698851
0.174381 0 2.11052 -5.27629 7.12299 -13.7184 13.4545
0.174783 0 1.86269 -2.58018 -1.4374 -6.70846 -2.71508
0.175186 0 0 0 0 0 0
0.17559 0 0.787896 2.89722 1.8026 7.53276 3.40491
0.175995 0 0 0 0 0 0
0.176401 0 1.93649 -4.62864 5.59535 -12.0345 10.569
0.176807 0 0 0 0 0 0
0.177215 0 6.15257 -9.87637 -0.434427 -25.6786 -0.820584
0.177623 0 2.16426 -2.27828 -3.37084 -5.92353 -6.36714
0.178033 0 1.00769 0.447232 -3.83522 1.1628 -7.24431
0.178443 0 0 0 0 0 0
0.178855 0 0 0 0 0 0
0.179267 0 0 0 0 0 0
0.17968 0 0 0 0 0 0
0.180094 0 0 0 0 0 0
0.18051 0 4.29327 -5.98454 6.19229 -15.5598 11.6965
0.180926 0 0 0 0 0 0
0.181343 0 1.65757 4.45885 -1.86433 11.593 -3.52152
0.181761 0 1.13034 -1.71025 -0.434583 -4.44664 -0.820879
0.18218 0 1.81858 -1.47256 -4.05781 -3.82865 -7.66476
0.1826 0 0 0 0 0 0
0.183021 0 0 0 0 0 0
0.183443 0 0.746428 -1.78009 2.1392 -4.62822 4.04071
0.183866 0 0 0 0 0 0
0.184289 0 1.13986 -0.904821 -2.5819 -2.35254 -4.87693
0.184714 0 6.99942 -7.23274 -12.0336 -18.8051 -22.7301
0.18514 0 1.08994 -1.68195 -0.315992 -4.37306 -0.596874
0.185567 0 1.60563 -1.41286 -1.85528 -3.67345 -3.50441
0.185995 0 0 0 0 0 0
0.186423 0 2.16276 9.08592 10.0638 23.6234 19.0095
0.186853 0 0 0 0 0 0
