# index  k_cocoa[h/Mpc]
0  7.424000e-03
1  8.220428e-03
2  9.102296e-03
3  1.007877e-02
4  1.115999e-02
5  1.235721e-02
6  1.368286e-02
7  1.515072e-02
8  1.677606e-02
9  1.857575e-02
10  2.056851e-02
11  2.277505e-02
12  2.521830e-02
13  2.792366e-02
14  3.091924e-02
15  3.423618e-02
16  3.790895e-02
17  4.197573e-02
18  4.647879e-02
19  5.146492e-02
20  5.698595e-02
21  6.309926e-02
22  6.986839e-02
23  7.736370e-02
24  8.566309e-02
25  9.485281e-02
26  1.050284e-01
27  1.162956e-01
28  1.287715e-01
29  1.425858e-01
30  1.578820e-01
31  1.748192e-01
32  1.935734e-01
33  2.143395e-01
34  2.373333e-01
35  2.627938e-01
36  2.909857e-01
37  3.222019e-01
38  3.567669e-01
39  3.950400e-01
