# index  k_eff[h/Mpc]
0  7.424000e-03
1  1.607500e-02
2  2.564600e-02
3  3.543400e-02
4  4.535100e-02
5  5.530600e-02
6  6.524700e-02
7  7.519100e-02
8  8.517600e-02
9  9.517200e-02
10  1.051480e-01
11  1.151350e-01
12  1.251320e-01
13  1.351220e-01
14  1.451140e-01
15  1.551070e-01
16  1.650880e-01
17  1.750900e-01
18  1.850990e-01
19  1.950930e-01
20  2.050830e-01
21  2.150710e-01
22  2.250700e-01
23  2.350680e-01
24  2.450660e-01
25  2.550680e-01
26  2.650620e-01
27  2.750590e-01
28  2.850560e-01
29  2.950540e-01
30  3.050550e-01
31  3.150550e-01
32  3.250510e-01
33  3.350470e-01
34  3.450440e-01
35  3.550430e-01
36  3.650450e-01
37  3.750450e-01
38  3.850410e-01
39  3.950400e-01
