# k[h/Mpc]  P0  P2  P4
7.42400000e-03 8.53652398e+04 3.67839476e+04 1.93484323e+03
8.22042844e-03 8.44970482e+04 3.62225703e+04 1.89256695e+03
9.10229577e-03 8.54568113e+04 3.67440934e+04 1.94586122e+03
1.00787676e-02 8.51215799e+04 3.64800220e+04 1.90691711e+03
1.11599930e-02 8.61502376e+04 3.70327411e+04 1.95468468e+03
1.23572096e-02 8.63861142e+04 3.71056836e+04 1.96408280e+03
1.36828606e-02 8.64390950e+04 3.70700745e+04 1.95677671e+03
1.51507242e-02 8.59553290e+04 3.67001314e+04 1.92307044e+03
1.67760566e-02 8.67480291e+04 3.70967765e+04 1.96333888e+03
1.85757507e-02 8.59675326e+04 3.66766496e+04 1.94223774e+03
2.05685115e-02 8.42869273e+04 3.59044960e+04 1.90342437e+03
2.27750507e-02 8.11718248e+04 3.44480060e+04 1.82120778e+03
2.52183021e-02 7.73599951e+04 3.27617738e+04 1.73938592e+03
2.79236595e-02 7.29447775e+04 3.08412875e+04 1.65178743e+03
3.09192409e-02 6.74478733e+04 2.84561081e+04 1.53636095e+03
3.42361809e-02 6.17391423e+04 2.59778169e+04 1.42059638e+03
3.79089541e-02 5.60443809e+04 2.35585789e+04 1.31149208e+03
4.19757334e-02 5.06115400e+04 2.12318460e+04 1.20718564e+03
4.64787867e-02 4.60150085e+04 1.92833101e+04 1.12606276e+03
5.14649166e-02 4.22851939e+04 1.76898590e+04 1.06452380e+03
5.69859461e-02 3.93173405e+04 1.63984612e+04 1.01972706e+03
6.30992581e-02 3.67185545e+04 1.52504874e+04 9.84461199e+02
6.98683911e-02 3.38996094e+04 1.40373815e+04 9.50707473e+02
7.73637001e-02 3.03841444e+04 1.26265840e+04 9.14997606e+02
8.56630874e-02 2.62357055e+04 1.10898541e+04 8.81454543e+02
9.48528125e-02 2.21913954e+04 9.67750037e+03 8.56016016e+02
1.05028389e-01 1.90996568e+04 8.57970201e+03 8.36101568e+02
1.16295576e-01 1.71395931e+04 7.74308085e+03 8.12372469e+02
1.28771479e-01 1.56000181e+04 6.98171826e+03 7.86017340e+02
1.42585766e-01 1.36820856e+04 6.27023193e+03 7.75234941e+02
1.57882016e-01 1.16202150e+04 5.69930071e+03 7.78875732e+02
1.74819210e-01 1.01025396e+04 5.13343676e+03 7.61605985e+02
1.93573384e-01 8.96340962e+03 4.50694850e+03 7.25417380e+02
2.14339460e-01 7.78185970e+03 4.07597404e+03 7.09771723e+02
2.37333270e-01 6.74057656e+03 3.68815042e+03 6.90441740e+02
2.62793799e-01 5.87371039e+03 3.21365508e+03 6.55590969e+02
2.90985670e-01 5.08923903e+03 2.87077172e+03 6.29826172e+02
3.22201897e-01 4.40160765e+03 2.49776918e+03 5.97476198e+02
3.56766923e-01 3.79814776e+03 2.17040057e+03 5.66442098e+02
3.95040000e-01 3.26583861e+03 1.85172629e+03 5.34606550e+02
