# k[h/Mpc]  P0  P2  P4
5.00000000e-03 4.10599702e+04 2.88915573e+04 2.42755061e+03
5.75818435e-03 4.38267377e+04 3.08265356e+04 2.59114899e+03
6.63133740e-03 4.69023022e+04 3.30040677e+04 2.78344458e+03
7.63689264e-03 4.91597980e+04 3.45556427e+04 2.90386421e+03
8.79492714e-03 5.11263138e+04 3.59238593e+04 3.01808084e+03
1.01285624e-02 5.22328654e+04 3.66746682e+04 3.08057667e+03
1.16644258e-02 5.25820987e+04 3.69077560e+04 3.10858336e+03
1.34331829e-02 5.15585647e+04 3.61412467e+04 3.03973333e+03
1.54701487e-02 4.94696740e+04 3.46403949e+04 2.91627246e+03
1.78159936e-02 4.60289948e+04 3.21702749e+04 2.70496301e+03
2.05175551e-02 4.17720159e+04 2.91479135e+04 2.45555029e+03
2.36287729e-02 3.69413081e+04 2.57213669e+04 2.17017181e+03
2.72117661e-02 3.22075167e+04 2.23709705e+04 1.89136435e+03
3.13380731e-02 2.82088003e+04 1.95411681e+04 1.66017643e+03
3.60900804e-02 2.52205973e+04 1.74073484e+04 1.48702738e+03
4.15626672e-02 2.29215740e+04 1.57384256e+04 1.35193578e+03
4.78650999e-02 2.05076019e+04 1.39984534e+04 1.21386043e+03
5.51232139e-02 1.71996561e+04 1.17003257e+04 1.03611077e+03
6.34819255e-02 1.35292312e+04 9.22822774e+03 8.50163330e+02
7.31081259e-02 1.09628618e+04 7.48811860e+03 7.19364338e+02
8.41940133e-02 9.63197920e+03 6.48935023e+03 6.37948414e+02
9.69609299e-02 8.00636376e+03 5.37124579e+03 5.54895192e+02
1.11663782e-01 6.23253736e+03 4.26220239e+03 4.80335888e+02
1.28596128e-01 5.29830165e+03 3.54516060e+03 4.16903753e+02
1.48096042e-01 4.28415872e+03 2.89312619e+03 3.69466581e+02
1.70552863e-01 3.53737759e+03 2.35512660e+03 3.21809742e+02
1.96414965e-01 2.89948627e+03 1.92317976e+03 2.84686510e+02
2.26198715e-01 2.39700571e+03 1.53695468e+03 2.44674514e+02
2.60498780e-01 1.95442862e+03 1.20595615e+03 2.11397176e+02
3.00000000e-01 1.48827782e+03 1.03658469e+03 2.01538155e+02
