# k[h/Mpc]  P0  P2  P4
2.56460000e-02 4.81789040e+05 3.80710317e+05 3.44637522e+04
2.88972310e-02 3.77428822e+05 3.19909959e+05 2.70204949e+04
3.25606316e-02 5.24772564e+05 5.11596279e+05 4.68308755e+04
3.66884540e-02 9.40040925e+05 1.08874255e+06 1.25594499e+05
4.13395745e-02 9.53181568e+05 1.18015291e+06 1.23613633e+05
4.65803335e-02 1.44565080e+06 1.99695036e+06 2.24922699e+05
5.24854814e-02 2.52475244e+06 3.83529558e+06 4.55389404e+05
5.91392450e-02 5.23850729e+06 8.67403119e+06 1.09123957e+06
6.66365290e-02 1.31820055e+07 2.35716923e+07 3.15961586e+06
7.50842692e-02 4.07733909e+07 7.79925744e+07 1.11946371e+07
8.46029583e-02 1.61621464e+08 3.27754023e+08 5.05648171e+07
9.53283641e-02 9.11765702e+08 1.94395247e+09 3.23437821e+08
1.07413466e-01 8.67208041e+09 1.93010366e+10 3.47052116e+09
1.21030638e-01 1.61009123e+11 3.71909531e+11 7.23904867e+10
1.36374105e-01 6.26820712e+12 1.49353987e+13 3.14240211e+12
1.53662716e-01 6.36201391e+14 1.51231084e+15 3.31474834e+14
1.73143063e-01 3.95332926e+18 5.80773880e+18 1.50923152e+17
1.95093000e-01 7.06593151e+24 1.06907494e+25 7.37180496e+22
